Anaa Airport,AAA
Grumman Bethpage Airport,BPA
Bamenda Airport,BPC
Bapi Airstrip,BPD
Qinhuangdao Beidaihe Airport,BPE
Batuna Aerodrome,BPF
Barra do GarÃ§as Airport,BPG
Bislig Airport,BPH
Miley Memorial Field,BPI
Biangabip Airport,BPK
Alashankou Bole (Bortala) airport,BPL
Begumpet Airport,BPM
Sultan Aji Muhamad Sulaiman Airport,BPN
Porto Seguro Airport,BPS
Southeast Texas Regional Airport,BPT
Qamdo Bangda Airport,BPX
Besalampy Airport,BPY
Dr.Juan C. Angara Airport,BQA
Busselton Regional Airport,BQB
BÃºÃ°ardalur Airport,BQD
Bubaque Airport,BQE
Bogorodskoye Airport,BQG
London Biggin Hill Airport,BQH
Bagani Airport,BQI
Batagay Airport,BQJ
Brunswick Golden Isles Airport,BQK
Boulia Airport,BQL
Rafael Hernandez Airport,BQN
Bouna Airport,BQO
Barra Airport,BQQ
Ignatyevo Airport,BQS
Brest Airport,BQT
J F Mitchell Airport,BQU
Bartlett Cove Seaplane Base,BQV
Balgo Hill Airport,BQW
Tucuma Airport,BR-
Barreiras Airport,BRA
Barreirinhas Airport,BRB
San Carlos De Bariloche Airport,BRC
Brainerd Lakes Regional Airport,BRD
Bremen Airport,BRE
Whitesburg Municipal Airport,BRG
Bari Karol WojtyÅa Airport,BRI
Bourke Airport,BRK
Southeast Iowa Regional Airport,BRL
Barquisimeto International Airport,BRM
Bern Belp Airport,BRN
Brownsville South Padre Island International Airport,BRO
Biaru Airport,BRP
Brno-TuÅany Airport,BRQ
Barra Airport,BRR
Bristol Airport,BRS
Bathurst Island Airport,BRT
Brussels Airport,BRU
Bremerhaven Airport,BRV
Wiley Post Will Rogers Memorial Airport,BRW
Maria Montez International Airport,BRX
Samuels Field,BRY
Bosaso Airport,BSA
Presidente Juscelino Kubitschek International Airport,BSB
JosÃ© Celestino Mutis Airport,BSC
Baoshan Yunduan Airport,BSD
Sematan Airport,BSE
Bradshaw Army Airfield,BSF
Bata Airport,BSG
Balesin Island Airport,BSI
Bairnsdale Airport,BSJ
Biskra Airport,BSK
EuroAirport Basel-Mulhouse-Freiburg Airport,BSL
Bishe Kola Air Base,BSM
Bossangoa Airport,BSN
Basco Airport,BSO
Bensbach Airport,BSP
Bisbee Municipal Airport,BSQ
Basrah International Airport,BSR
Balsas Airport,BSS
Bost Airport,BST
Basankusu Airport,BSU
Besakoa Airport,BSV
Boswell Bay Airport,BSW
Pathein Airport,BSX
Bardera Airport,BSY
Bartletts Airport,BSZ
Bertoua Airport,BTA
Betou Airport,BTB
Batticaloa Airport,BTC
Brunette Downs Airport,BTD
Sherbro International Airport,BTE
Skypark Airport,BTF
Batangafo Airport,BTG
Hang Nadim International Airport,BTH
Barter Island LRRS Airport,BTI
Sultan Iskandar Muda International Airport,BTJ
Bratsk Airport,BTK
W K Kellogg Airport,BTL
Bert Mooney Airport,BTM
Marlboro County Jetport H.E. Avent Field,BTN
Botopasi Airport,BTO
Pittsburgh/Butler Regional Airport,BTP
Butare Airport,BTQ
Baton Rouge Metropolitan Airport,BTR
M. R. Å tefÃ¡nik Airport,BTS
Bettles Airport,BTT
Bintulu Airport,BTU
Burlington International Airport,BTV
Batu Licin Airport,BTW
Betoota Airport,BTX
Beatty Airport,BTY
Bursa Airport,BTZ
Buka Airport,BUA
Cram Field,BUB
Burketown Airport,BUC
Budapest Liszt Ferenc International Airport,BUD
Buffalo Niagara International Airport,BUF
Benguela Airport,BUG
Bokondini Airport,BUI
Bou Saada Airport,BUJ
Al-Bough Airport,BUK
Bulolo Airport,BUL
Butler Memorial Airport,BUM
Gerardo Tobar LÃ³pez Airport,BUN
Burao Airport,BUO
Bhatinda Air Force Station,BUP
Joshua Mqabuko Nkomo International Airport,BUQ
Bob Hope Airport,BUR
Batumi International Airport,BUS
Bathpalathang Airport,BUT
Muara Bungo Airport,BUU
Bella Union Airport,BUV
Betoambari Airport,BUW
Bunia Airport,BUX
Bunbury Airport,BUY
Bushehr Airport,BUZ
Paris Beauvais TillÃ© Airport,BVA
Atlas Brasil Cantanhede Airport,BVB
Rabil Airport,BVC
Brive-Souillac,BVE
Bui-Dama Airport,BVF
BerlevÃ¥g Airport,BVG
Brigadeiro CamarÃ£o Airport,BVH
Birdsville Airport,BVI
Huacaraje Airport,BVK
Baures Airport,BVL
Belmonte Airport,BVM
Bartlesville Municipal Airport,BVO
Bolovip Airstrip,BVP
Esperadinha Airport,BVR
Breves Airport,BVS
Beluga Airport,BVU
Burevestnik Airport,BVV
Batavia Downs Airport,BVW
Batesville Regional Airport,BVX
Beverly Municipal Airport,BVY
Beverley Springs Airport,BVZ
Gautam Buddha Airport,BWA
Barrow Island Airport,BWB
Brawley Municipal Airport,BWC
Brownwood Regional Airport,BWD
Braunschweig-Wolfsburg Airport,BWE
Barrow Walney Island Airport,BWF
Bowling Green Warren County Regional Airport,BWG
Butterworth Airport,BWH
Baltimore/Washington International Thurgood Marshall Airport,BWI
Bawan Airport,BWJ
Bol Airport,BWK
Earl Henry Airport,BWL
Bowman Regional Airport,BWM
Brunei International Airport,BWN
Balakovo Airport,BWO
Bewani Airport,BWP
Brewarrina Airport,BWQ
Wynyard Airport,BWT
Sydney Bankstown Airport,BWU
Las Brujas Airport,BWW
Blimbingsari Airport,BWX
RAF Bentwaters,BWY
George R Carr Memorial Air Field,BXA
Babo Airport,BXB
Bade Airport,BXD
Bakel Airport,BXE
Bellburn Airstrip,BXF
Bendigo Airport,BXG
Balkhash Airport,BXH
Boundiali Airport,BXI
Boralday Airport,BXJ
Buckeye Municipal Airport,BXK
Blue Lagoon Seaplane Base,BXL
Batom Airport,BXM
ImsÄ±k Airport,BXN
Buochs Airport,BXO
BiaÅa Podlaska Airfield,BXP
Bam Airport,BXR
Borrego Valley Airport,BXS
Bontang Airport,BXT
Bancasi Airport,BXU
BreiÃ°dalsvÃ­k Airport,BXV
Bawean Airport,BXW
Borama Airport,BXX
Krainiy Airport,BXY
Bunsil Airport,BXZ
Boundary Airport,BYA
Dibba Airport,BYB
Yacuiba Airport,BYC
Al-Bayda Airport,BYD
Albert-Bray Airport,BYF
Johnson County Airport,BYG
Arkansas International Airport,BYH
Burley Municipal Airport,BYI
Beja Airport / Airbase,BYJ
BouakÃ© Airport,BYK
Bella Yella Airport,BYL
Carlos Manuel de Cespedes Airport,BYM
Bayankhongor Airport,BYN
Bonito Airport,BYO
Barimunya Airport,BYP
Bunyu Airport,BYQ
LÃ¦sÃ¸ Airport,BYR
Bicycle Lake Army Air Field,BYS
Bantry Aerodrome,BYT
Bayreuth Airport,BYU
Beira Lake Seaplane Base,BYV
Blakely Island Airport,BYW
Baniyala Airport,BYX
San Pedro Airport,BZA
Bazaruto Island Airport,BZB
Umberto Modiano Airport,BZC
Balranald Airport,BZD
Philip S. W. Goldson International Airport,BZE
Benton Field,BZF
Bydgoszcz Ignacy Jan Paderewski Airport,BZG
Bumi Airport,BZH
BalÄ±kesir Merkez Airport,BZI
Bryansk Airport,BZK
Barisal Airport,BZL
Bemolanga Airport,BZM
Gallatin Field,BZN
Bolzano Airport,BZO
Bizant Airport,BZP
BÃ©ziers-Vias Airport,BZR
Buzzards Point Seaplane Base,BZS
Eagle Air Park,BZT
Buta Zega Airport,BZU
Maya-Maya Airport,BZV
Bazhong Enyang Airport,BZX
BÄlÈi International Airport,BZY
RAF Brize Norton,BZZ
Catacamas Airport,CAA
Cabinda Airport,CAB
Cascavel Airport,CAC
Wexford County Airport,CAD
Columbia Metropolitan Airport,CAE
Carauari Airport,CAF
Cagliari Elmas Airport,CAG
CÃ  Mau Airport,CAH
Cairo International Airport,CAI
Canaima Airport,CAJ
Akron Canton Regional Airport,CAK
Campbeltown Airport,CAL
Camiri Airport,CAM
Guangzhou Baiyun International Airport,CAN
Clayton Municipal Airpark,CAO
Cap Haitien International Airport,CAP
Juan H White Airport,CAQ
Caribou Municipal Airport,CAR
Anfa Airport,CAS
Cascais Airport,CAT
Caruaru Airport,CAU
Cazombo Airport,CAV
Bartolomeu Lisandro Airport,CAW
Carlisle Airport,CAX
Cayenne-Rochambeau Airport,CAY
Cobar Airport,CAZ
Jorge Wilsterman International Airport,CBB
Cherrabun Airport,CBC
Car Nicobar Air Force Station,CBD
Greater Cumberland Regional Airport,CBE
Council Bluffs Municipal Airport,CBF
Cambridge Airport,CBG
BÃ©char Boudghene Ben Ali Lotfi Airport,CBH
Cape Barren Island Airport,CBI
Cabo Rojo Airport,CBJ
Shalz Field,CBK
"Aeropuerto ""General Tomas de Heres"". Ciudad Bolivar",CBL
Columbus Air Force Base,CBM
Penggung Airport,CBN
Awang Airport,CBO
Margaret Ekpo International Airport,CBQ
Canberra International Airport,CBR
Oro Negro Airport,CBS
Catumbela Airport,CBT
Cottbus-Drewitz Airport,CBU
Coban Airport,CBV
Campo MourÃ£o Airport,CBW
Condobolin Airport,CBX
Canobie Airport,CBY
Chimore Airport,CCA
Cable Airport,CCB
Jardines Del Rey Airport,CCC
Century City Heliport,CCD
Capital International Airport,CCE
Carcassonne Airport,CCF
Crane County Airport,CCG
Chile Chico Airport,CCH
ConcÃ³rdia Airport,CCI
Calicut International Airport,CCJ
Cocos (Keeling) Islands Airport,CCK
Chinchilla Airport,CCL
DiomÃ­cio Freitas Airport,CCM
Chakcharan Airport,CCN
Carimagua Airport,CCO
Carriel Sur Airport,CCP
Buchanan Field,CCR
SimÃ³n BolÃ­var International Airport,CCS
Colonia Catriel Airport,CCT
Netaji Subhash Chandra Bose International Airport,CCU
Craig Cove Airport,CCV
Cowell Airport,CCW
CÃ¡ceres Airport,CCX
Northeast Iowa Regional Airport,CCY
Chub Cay Airport,CCZ
Cooinda Airport,CDA
Cold Bay Airport,CDB
Cedar City Regional Airport,CDC
Cauquira Airport,CDD
Chengde Puning Airport,CDE
Cortina Airport,CDF
Charles de Gaulle International Airport,CDG
Harrell Field,CDH
Cachoeiro do Itapemirim Airport,CDI
ConceiÃ§Ã£o do Araguaia Airport,CDJ
Candle 2 Airport,CDL
Woodward Field,CDN
Cradock Airport,CDO
Kadapa Airport,CDP
Croydon Airport,CDQ
Chadron Municipal Airport,CDR
Childress Municipal Airport,CDS
CastellÃ³n-Costa Azahar Airport,CDT
Camden Airport,CDU
Merle K (Mudhole) Smith Airport,CDV
Essex County Airport,CDW
Cagayan de Sulu Airport,CDY
Cessna Aircraft Field,CEA
Mactan Cebu International Airport,CEB
Jack Mc Namara Field Airport,CEC
Ceduna Airport,CED
Cherepovets Airport,CEE
Westover ARB/Metropolitan Airport,CEF
Hawarden Airport,CEG
Chelinda Malawi Airport,CEH
Chiang Rai International Airport,CEI
Chernihiv Shestovitsa Airport,CEJ
Chelyabinsk Balandino Airport,CEK
Cape Eleuthera Airport,CEL
Central Airport,CEM
Ciudad ObregÃ³n International Airport,CEN
Waco Kungo Airport,CEO
ConcepciÃ³n Airport,CEP
Cannes-Mandelieu Airport,CEQ
Cherbourg-Maupertus Airport,CER
Cessnock Airport,CES
Cholet Le Pontreau Airport,CET
Oconee County Regional Airport,CEU
Mettel Field,CEV
Bob Sikes Airport,CEW
Chena Hot Springs Airport,CEX
Kyle Oakley Field,CEY
Cortez Municipal Airport,CEZ
Cabo Frio Airport,CFB
CaÃ§ador Airport,CFC
Coulter Field,CFD
Clermont-Ferrand Auvergne Airport,CFE
Cafunfo Airport,CFF
Jaime Gonzalez Airport,CFG
Clifton Hills Airport,CFH
Camfield Airport,CFI
Ech Cheliff Airport,CFK
Conklin (Leismer) Airport,CFM
Donegal Airport,CFN
Confresa Airport,CFO
Carpentaria Downs Airport,CFP
Creston Valley Regional Airport - Art Sutcliffe Field,CFQ
Caen-Carpiquet Airport,CFR
Coffs Harbour Airport,CFS
Greenlee County Airport,CFT
Ioannis Kapodistrias International Airport,CFU
Coffeyville Municipal Airport,CFV
Craig Seaplane Base,CGA
Marechal Rondon Airport,CGB
Cape Gloucester Airport,CGC
Changde Airport,CGD
Cambridge Dorchester Airport,CGE
Cuyahoga County Airport,CGF
Casiguran Airport,CGG
Congonhas Airport,CGH
Cape Girardeau Regional Airport,CGI
Kasompe Airport,CGJ
Soekarno-Hatta International Airport,CGK
Camiguin Airport,CGM
Cologne Bonn Airport,CGN
Zhengzhou Xinzheng International Airport,CGO
Shah Amanat International Airport,CGP
Longjia Airport,CGQ
Campo Grande Airport,CGR
College Park Airport,CGS
Chinguetti Airport,CGT
Caiguna Airport,CGV
Chicago Meigs Airport,CGX
Laguindingan Airport,CGY
Casa Grande Municipal Airport,CGZ
Lovell Field,CHA
Chilas Airport,CHB
Christchurch International Airport,CHC
Jinhae Airbase/Airport (G-813/K-10),CHF
Chaoyang Airport,CHG
Chachapoyas Airport,CHH
Chipinge Airport,CHJ
Chickasha Municipal Airport,CHK
Challis Airport,CHL
Teniente FAP Jaime A De Montreuil Morales Airport,CHM
Jeon Ju Airport (G-703),CHN
Charlottesville Albemarle Airport,CHO
Circle Hot Springs Airport,CHP
Chania International Airport,CHQ
"ChÃ¢teauroux-DÃ©ols ""Marcel Dassault"" Airport",CHR
Charleston Air Force Base-International Airport,CHS
Chatham Islands-Tuuta Airport,CHT
Chuathbaluk Airport,CHU
Aerodromo de Chaves,CHV
Cap Manuel NiÃ±o International Airport,CHX
Choiseul Bay Airport,CHY
Chiloquin State Airport,CHZ
CiampinoâG. B. Pastine International Airport,CIA
Chico Municipal Airport,CIC
The Eastern Iowa Airport,CID
Collie Airport,CIE
Chifeng Airport,CIF
Craig Moffat Airport,CIG
Changzhi Airport,CIH
ÃÄ±ldÄ±r Airport,CII
CapitÃ¡n AnÃ­bal Arab Airport,CIJ
Chalkyitsik Airport,CIK
Council Airport,CIL
Cimitarra Airport,CIM
Arthur N Neu Airport,CIN
Teniente Col Carmelo Peralta Airport,CIO
Chipata Airport,CIP
Chiquimula Airport,CIQ
Cairo Regional Airport,CIR
Canton Island Airport,CIS
Shymkent Airport,CIT
Chippewa County International Airport,CIU
Chomley Seaplane Base,CIV
Canouan Airport,CIW
Capitan FAP Jose A Quinones Gonzales International Airport,CIX
Comiso Airport,CIY
Coari Airport,CIZ
Mayor General FAP Armando Revoredo Iglesias Airport,CJA
Coimbatore International Airport,CJB
El Loa Airport,CJC
Coondewanna Airport,CJF
Chilko Lake (Tsylos Park Lodge) Airport,CJH
Cheongju International Airport/Cheongju Air Base (K-59/G-513),CJJ
Chitral Airport,CJL
Chumphon Airport,CJM
Nusawiru Airport,CJN
Abraham GonzÃ¡lez International Airport,CJS
San Antonio Copalar Airport,CJT
Jeju International Airport,CJU
Kegelman AF Aux Field,CKA
North Central West Virginia Airport,CKB
Cherkasy International Airport,CKC
Crooked Creek Airport,CKD
Lampson Field,CKE
Chongqing Jiangbei International Airport,CKG
Chokurdakh Airport,CKH
Croker Island Airport,CKI
Sharp County Regional Airport,CKK
Chkalovskiy Air Base,CKL
Fletcher Field,CKM
Crookston Municipal Kirkwood Field,CKN
CornÃ©lio ProcÃ³pio Airport,CKO
Crane Island Airstrip,CKR
CarajÃ¡s Airport,CKS
Sarakhs Airport,CKT
Cordova Municipal Airport,CKU
ClarksvilleâMontgomery County Regional Airport,CKV
Graeme Rowley Aerodrome,CKW
Chicken Airport,CKX
Conakry International Airport,CKY
Ãanakkale Airport,CKZ
Comilla Airport,CLA
Castlebar Airport,CLB
Clear Lake Metroport,CLC
Mc Clellan-Palomar Airport,CLD
Cleveland Hopkins International Airport,CLE
RAF Coltishall,CLF
Coalinga Airport,CLG
New Coalinga Municipal Airport,CLG
Coolah Airport,CLH
Clintonville Municipal Airport,CLI
Cluj-Napoca International Airport,CLJ
Clinton Regional Airport,CLK
Easterwood Field,CLL
William R Fairchild International Airport,CLM
Brig. Lysias Augusto Rodrigues Airport,CLN
Alfonso Bonilla Aragon International Airport,CLO
Clarks Point Airport,CLP
Licenciado Miguel de la Madrid Airport,CLQ
Cliff Hatfield Memorial Airport,CLR
Chehalis Centralia Airport,CLS
Charlotte Douglas International Airport,CLT
Columbus Municipal Airport,CLU
Nelson Ribeiro GuimarÃ£es Airport,CLV
Clearwater Air Park,CLW
Clorinda Airport,CLX
Calvi-Sainte-Catherine Airport,CLY
Calabozo Airport,CLZ
Cunnamulla Airport,CMA
Bandaranaike International Colombo Airport,CMB
Camocim Airport,CMC
Cootamundra Airport,CMD
Ciudad del Carmen International Airport,CME
ChambÃ©ry-Savoie Airport,CMF
CorumbÃ¡ International Airport,CMG
John Glenn Columbus International Airport,CMH
University of Illinois Willard Airport,CMI
Chi Mei Airport,CMJ
Club Makokola Airport,CMK
Camooweal Airport,CML
Carmelita Airport,CMM
Mohammed V International Airport,CMN
Obbia Airport,CMO
Santana do Araguaia Airport,CMP
Clermont Airport,CMQ
Colmar-Houssen Airport,CMR
Scusciuban Airport,CMS
New CametÃ¡ Airport,CMT
Chimbu Airport,CMU
Coromandel Aerodrome,CMV
Ignacio Agramonte International Airport,CMW
Houghton County Memorial Airport,CMX
Sparta Fort Mc Coy Airport,CMY
Caia Airport,CMZ
Cananea National Airport,CNA
Coonamble Airport,CNB
Coconut Island Airport,CNC
Mihail KogÄlniceanu International Airport,CND
Fremont County Airport,CNE
Tancredo Neves International Airport,CNF
Cognac-ChÃ¢teaubernard (BA 709) Air Base,CNG
Claremont Municipal Airport,CNH
Changhai Airport,CNI
Cloncurry Airport,CNJ
Blosser Municipal Airport,CNK
Sindal Airport,CNL
Cavern City Air Terminal,CNM
Kannur International Airport,CNN
Chino Airport,CNO
Neerlerit Inaat Airport,CNP
Corrientes Airport,CNQ
ChaÃ±aral Airport,CNR
Cairns International Airport,CNS
Charata Airport,CNT
Chanute Martin Johnson Airport,CNU
SÃ³crates Rezende Airport,CNV
TSTC Waco Airport,CNW
Chiang Mai International Airport,CNX
Canyonlands Field,CNY
Cangamba Airport,CNZ
Columbia Airport,COA
Coolibah Airport,COB
Comodoro Pierrestegui Airport,COC
Yellowstone Regional Airport,COD
Coeur D'Alene - Pappy Boyington Field,COE
Patrick Air Force Base,COF
Mandinga Airport,COG
Cooch Behar Airport,COH
Merritt Island Airport,COI
Coonabarabran Airport,COJ
Cochin International Airport,COK
Coll Airport,COL
Coleman Municipal Airport,COM
Concord Municipal Airport,CON
Cadjehoun Airport,COO
Cooperstown-Westville Airport,COP
Choibalsan Airport,COQ
Ingeniero Ambrosio Taravella Airport,COR
City of Colorado Springs Municipal Airport,COS
Cotulla-La Salle County Airport,COT
Columbia Regional Airport,COU
Tambillos Airport,COW
Coolawanyah Airport,COY
Constanza - ExpediciÃ³n 14 de Junio National Airport,COZ
Cape Palmas Airport,CPA
CapurganÃ¡ Airport,CPB
Aviador C. Campos Airport,CPC
Coober Pedy Airport,CPD
Ingeniero Alberto AcuÃ±a Ongay International Airport,CPE
Ngloram Airport,CPF
Carmen De Patagones Airport,CPG
Copenhagen Kastrup Airport,CPH
Cape Orford Airport,CPI
Chaparral Airport,CPL
Compton Woodley Airport,CPM
Cape Rodney Airport,CPN
Desierto de Atacama Airport,CPO
Coposa Airport,CPP
Amarais Airport,CPQ
Casper-Natrona County International Airport,CPR
St Louis Downtown Airport,CPS
Cape Town International Airport,CPT
Cururupu Airport,CPU
Presidente JoÃ£o Suassuna Airport,CPV
Benjamin Rivera Noriega Airport,CPX
Canarana Airport,CQA
Shahrekord Airport,CQD
Calais-Dunkerque Airport,CQF
Ciudad Real Central Airport,CQM
Cape Flattery Airport,CQP
Costa Marques Airport,CQS
Caquetania Airport,CQT
Craiova Airport,CRA
Collarenebri Airport,CRB
Santa Ana Airport,CRC
General E. Mosconi Airport,CRD
Grand Strand Airport,CRE
Carnot Airport,CRF
Jacksonville Executive at Craig Airport,CRG
Cherrabah Airport,CRH
Colonel Hill Airport,CRI
Coorabie Airport,CRJ
Diosdado Macapagal International Airport,CRK
Brussels South Charleroi Airport,CRL
Catarman National Airport,CRM
Corcoran Airport,CRO
Corpus Christi International Airport,CRP
Caravelas Airport,CRQ
Ceres Airport,CRR
C David Campbell Field Corsicana Municipal Airport,CRS
Z M Jack Stell Field,CRT
Lauriston Airport,CRU
Crotone Airport,CRV
Yeager Airport,CRW
Roscoe Turner Airport,CRX
Carlton Hill Airport,CRY
Turkmenabat Airport,CRZ
Colonsay Airstrip,CSA
CaransebeÅ Airport,CSB
Mojica Airport,CSC
Cresswell Downs Airport,CSD
Crested Butte Airpark,CSE
Creil Air Base,CSF
Columbus Metropolitan Airport,CSG
Solovki Airport,CSH
Casino Airport,CSI
Cap Skirring Airport,CSK
Clinton Sherman Airport,CSM
Carson Airport,CSN
Cochstedt Airport,CSO
Creston Municipal Airport,CSQ
Casuarito Airport,CSR
CassilÃ¢ndia Airport,CSS
Castaway Island Seaplane Base,CST
Santa Cruz do Sul Airport,CSU
Crossville Memorial Whitson Field,CSV
Changsha Huanghua International Airport,CSX
Cheboksary Airport,CSY
Brigadier D.H.E. Ruiz Airport,CSZ
Catania-Fontanarossa Airport,CTA
Cut Bank International Airport,CTB
Catamarca Airport,CTC
Alonso Valderrama Airport,CTD
Carti Airport,CTE
Coatepeque Airport,CTF
Rafael NuÃ±ez International Airport,CTG
Chester County G O Carlson Airport,CTH
Cuito Cuanavale Airport,CTI
Canton Municipal Airport,CTK
Charleville Airport,CTL
Chetumal International Airport,CTM
Cooktown Airport,CTN
Calverton Executive Airpark,CTO
Carutapera Airport,CTP
Santa VitÃ³ria do Palmar Airport,CTQ
Cattle Creek Airport,CTR
New Chitose Airport,CTS
